ru_word,en_word,transcription,example_en,example_ru
производительность,productivity,[ˌprɔdʌkˈtɪvɪtɪ],We can get productivity up.,Мы можем увеличить производительность.
профессия,profession,[prəˈfeʃən],It was her original profession.,Это было её первой профессией.
профессиональный,professional,[prəˈfeʃənl],I'm a professional pusher.,Я профессиональный толкач.
профессионал,professional,[prəˈfeʃənl],Because we're so damned professional?,Потому что мы чертовы профессионалы?
профессор,professor,[prəˈfesə],"Let's speak frankly, professor.","Давайте говорить прямо, профессор."
профиль,profile,[ˈprəufaɪl],Set up a receipt profile,Настройка профиля чеков
прибыль,profit,[ˈprɔfɪt],Total profit = $6000 (120% return),Общая прибыль = 6.000$ (120%-я доходность)
прибыльный,profitable,[ˈprɔfɪtəbl],• Max profit trade - maximum profitable trade.,• Максимальная профитная сделка - максимальная прибыльная сделка.
глубокий,profound,[prəˈfaund],This is a profound error.,Это глубокая ошибка.
программа,program,[ˈprəuɡræm],Key Benefits of the Program,Основные преимущества программы
программировать,program,[ˈprəuɡræm],Xbox One Chatpad: Program the hotkeys,Клавиатура Xbox One. Программирование горячих клавиш
программа,programme,[ˈprəuɡræm],Country programme outline for Niger,Набросок страновой программы для Нигера
программирование,programming,,Expert in conductivity and computer programming.,Я эксперт в электропроводимости и программировании.
прогресс,progress,['prəugres],Progress is impossible without change.,Без перемен не может быть прогресса.
продвигаться,progress,['prəugres],Science has made remarkable progress.,Наука заметно продвинулась.
прогрессивный,progressive,[prəuˈɡresɪv],America’s New Progressive Era?,Новая прогрессивная эра Америки?
запрещать,prohibit,[prəˈhɪbɪt],Prohibit send and receive at (GB),Запретить отправку и получение при (ГБ)
проект,project,['prɔʤekt],First report from Project Lupine.,Первая запись в журнале Волчьего Проекта.
планировать,project,['prɔʤekt],Project planning overview [AX 2012],Обзор планирования проекта [AX 2012]
прогноз,projection,[prəˈdʒekʃən],The post-crisis projection is 2020.,"Прогноз, сделанный после кризиса - 2020 год."
известный,prominent,[ˈprɔmɪnənt],"Rich, prominent people with real social positions.","Богатые, известные люди определенного социального положения."
обещание,promise,[ˈprɔmɪs],"Guys, you kept your promise.","Ребята, вы сдержали обещание."
обещать,promise,[ˈprɔmɪs],"Guys, you kept your promise.","Ребята, вы сдержали обещание."
многообещающий,promising,[ˈprɔmɪsɪŋ],That does not sound promising.,Это не звучит многообещающе.
содействовать,promote,[prəˈməut],Governments around the world want to promote entrepreneurship.,Правительства во всем мире хотят содействовать предпринимательству.
поощрение,promotion,[prəˈməuʃən],The promotion of small and medium-sized agricultural enterprises …,поощрение малых и средних сельскохозяйственных предприятий (…);
предлагать,prompt,[prɔmpt],The string [For what city?] is your parameter prompt.,Строка [Для какого города?] является предложением ввести параметр.
объявлять,pronounce,[prəˈnauns],I pronounce you champion archer of England.,Я объявляю вас чемпионом Англии по стрельбе из лука.
явный,pronounced,[prəˈnaunst],"The war lasted less than a week, but its legacy remains pronounced a half-century later.","Война длилась меньше недели, но ее последствия остаются явно заметными и через полвека."
доказательство,proof,[pru:f],And I'm living proof.,И я живое этому доказательство.
пропаганда,propaganda,[ˌprɔpəˈɡændə],It patently veers toward propaganda.,Она явно меняется в зависимости от пропаганды.
надлежащий,proper,[ˈprɔpə],See yourself to proper dress.,Жду тебя в надлежащем одеянии.
свойство,property,[ˈprɔpətɪ],Added graphNode property to FBSDKShareAPI.,Добавлено свойство graphNode в FBSDKShareAPI.
пропорция,proportion,[prəˈpɔ:ʃən],Is this the right proportion?,Действительно ли такая пропорция является правильной?
предложение,proposal,[prəˈpəuzəl],Jim will accept your proposal.,Джим примет ваше предложение.
предлагать,propose,[prəˈpəuz],"Instead, I propose a toast.","Вместо этого, Я предлагаю тост."
предложение,proposition,[ˌprɔpəˈzɪʃən],But it is a risky proposition:,Но это рискованное предложение:
осуществлять судебное преследование,prosecute,[ˈprɔsɪkju:t],The legal bases of the obligation to extradite or prosecute,Правовая база обязательства выдавать или осуществлять судебное преследование
преследование,prosecution,[ˌprɔsɪˈkju:ʃən],“This is a political prosecution.”,– Это политическое преследование».
прокурор,prosecutor,[ˈprɔsɪkju:tə],A skilled prosecutor sees leverage.,Опытный прокурор видит рычаги воздействия.
перспектива,prospect,['prɔspekt],This prospect is hardly encouraging.,Эта перспектива едва ли утешительна.
возможный,prospective,[prəsˈpektɪv],America also needs a strategy to respond to any prospective attacks.,США также нужна стратегия реагирования на возможные атаки.
процветание,prosperity,,"In 1998, however, prosperity vanished.",Однако в 1998 году процветание прекратилось.
защищать,protect,[prəˈtekt],This will protect your skin.,Это защитит твою кожу.
защита,protection,[prəˈtekʃən],Windows 10 device protection settings,Параметры защиты устройств для Windows 10
защитный,protective,[prəˈtektɪv],Regulation No. 22 (Protective helmets),Правила № 22 (защитные шлемы)
белок,protein,[ˈprəuti:n],Well elastin is a protein.,За эластичность отвечает белок эластин.
протест,protest,['prəutest],So I staged a protest.,Так что я решила участвовать в акции протеста.
выступать,protest,['prəutest],This legacy infects even the reformers who protest against Khamenei.,"Это наследие заражает даже реформаторов, выступающих с протестами против Хаменеи."
протестующий,protester,,A young Yemeni protester put this case succinctly:,Молодой йеменский протестующий лаконично описал это:
протокол,protocol,[ˈprəutəkɔl],Voice over Internet Protocol (VoIP),Протокол VoIP
гордый,proud,[praud],"The quietness, the proud look.","Тишина, гордый вид."
доказывать,prove,[pru:v],You can't prove that.,Ты не можешь этого доказать.
предоставлять,provide,[prəˈvaɪd],Information Others Provide About You.,"Информация о вас, которую предоставляют другие люди."
провинция,province,[ˈprɔvɪns],Natural variability in nodule province ecosystems.,естественная изменчивость экосистем конкрециеносных провинций.
провинциальный,provincial,[prəˈvɪnʃəl],But Churchill was neither petty nor provincial.,"Тем не менее Черчилль не был ни прекрасным, ни провинциальным."
положение,provision,[prəˈvɪʒən],This provision has an introductory character.,Данное положение носит вводный характер.
спровоцировать,provoke,[prəˈvəuk],Another is to provoke curiosity.,Второй способ — спровоцировать любопытство.
психиатрический,psychiatric,[ˌsaɪkɪˈætrɪk],He was under psychiatric care.,Он был на психиатрическом лечении.
психологический,psychological,,"Appartenances, Lausanne, Switzerland; psychological assistance.","Appartenances, Лозанна, Швейцария; психологическая помощь."
психолог,psychologist,[saɪˈkɔlədʒɪst],I'm a social psychologist.,Я социальный психолог.
психология,psychology,[saɪˈkɔlədʒɪ],It’s cave-man psychology.,У них обоих психология пещерного человека.
паб,pub,[pʌb],The Lion and Lamb Pub.,Паб Лев и Агнец.
общественный,public,[ˈpʌblɪk],Operational support for public information,Оперативная поддержка деятельности в области общественной информации
общественный,public,[ˈpʌblɪk],Operational support for public information,Оперативная поддержка деятельности в области общественной информации
публикация,publication,[ˌpʌblɪˈkeɪʃən],Publication of a bibliography on education.,Публикация библиографии по вопросам образования.
публичность,publicity,[pʌbˈlɪsɪtɪ],There’s also speculation that Karimov was angered by his daughter’s insatiable appetite for publicity.,"Ходят также слухи о том, что Каримова раздражает неутолимая страсть его дочери к публичности."
опубликовать,publish,[ˈpʌblɪʃ],"To publish your post, tap.","Чтобы опубликовать запись, коснитесь элемента."
публикация,publishing,[ˈpʌblɪʃɪŋ],Right-to-Left (RTL) Publishing,Публикация справа налево (RTL)
тяга,pull,[pul],It's the gravitational pull that makes these things orbit.,Это гравитационная тяга заставляет их вращаться.
тянуть,pull,[pul],"Okay, now, push and pull.","Хорошо, теперь, толкай и тяни."
пульс,pulse,[pʌls],Give me the pulse irrigator.,Дайте мне измеритель пульса.
насос,pump,[pʌmp],Mom needs the aerobed pump.,Маме нужен насос для надувной кровати.
качать,pump,[pʌmp],It helps your heart to pump.,Это помогает твоему сердцу качать кровь.
удар,punch,[pʌntʃ],She really packs a punch.,У неё тот ещё удар.
ударять,punch,[pʌntʃ],"Yeah, they pack a punch.","Да, они хорошо ударяют в голову."
наказывать,punish,[ˈpʌnɪʃ],And punish the abusive jockey.,И наказал неучтивых жокеев.
наказание,punishment,[ˈpʌnɪʃmənt],"Crime and Punishment, Refugee Style",Преступление и наказание для беженцев
панк,punk,[pʌŋk],"Actually, I come from punk rock.",На самом деле я начинал с панк-рока.
учащийся,pupil,[ˈpju:pl],"Pupil characteristics also play a very important role in terms of achievement, for example:","Индивидуальные особенности учащихся также играют весьма важную роль в плане успеваемости, например:"
покупка,purchase,[ˈpə:tʃəs],Your Purchase Order (PO) number.,Ваш номер заказа на покупку.
купить,purchase,[ˈpə:tʃəs],Guide: Turning Purchase Intent into Purchases,Руководство: как превратить намерение купить в покупку
чистый,pure,[pjuə],"Oh, Lowestoft, cool and pure","О, Лоустофт, холодный и чистый"
фиолетовый,purple,[ˈpə:pl],Pink purple polka dot soup.,Розово-фиолетовый гороховый суп.
пурпур,purple,[ˈpə:pl],I love The Color Purple.,"Я люблю ""Цвет пурпура""."
цель,purpose,[ˈpə:pəs],What was its real purpose?,Каковы были его настоящие цели?
преследовать,pursue,[pəˈsju:],We pursue our individual goals.,Мы преследуем наши личные цели.
преследование,pursuit,[pəˈsju:t],"It's a godly pursuit, man.","Это - благочестивое преследование, парень."
толчок,push,[puʃ],It may well be time for another technocratic push:,"Вполне может быть, что настало время для другого технократического толчка:"
подталкивать,push,[puʃ],We just need a push.,Нас только нужно подтолкнуть.
положить,put,[put],Put it where you like.,"Положи, где хочешь."
головоломка,puzzle,[ˈpʌzl],Consider the old metaphysical puzzle:,Рассмотрите старую метафизическую головоломку:
квалификация,qualification,[ˌkwɔlɪfɪˈkeɪʃən],Remuneration based on professional qualification.,Вознаграждение в зависимости от уровня профессиональной квалификации.
квалифицированный,qualified,[ˈkwɔlɪfaɪd],This system is known as Qualified Majority Vote.,Эта система известна как система принятия решений квалифицированным большинством голосов.
квалифицировать,qualify,[ˈkwɔlɪfaɪ],"Click Change status, and then click Qualify.","Выберите Изменить статус, а затем выберите Квалифицировать >."
качество,quality,[ˈkwɔlɪtɪ],But they have good quality.,Но они очень хорошего качества.
количество,quantity,[ˈkwɔntɪtɪ],You can change this quantity.,Это количество можно изменять.
квартал,quarter,,Returns items for the previous quarter.,Возвращает элементы за предыдущий квартал.
королева,queen,[kwi:n],The snow queen tricked me.,Снежная Королева меня обманула.
запрос,query,[ˈkwɪərɪ],Create and save a query,Создание и сохранение запроса
поиски,quest,[kwest],Africa's Quest for Power,Африка в поисках энергии
вопрос,question,[ˈkwestʃən],The key question is this:,Главный вопрос состоит в следующем:
спрашивать,question,[ˈkwestʃən],"""Henry, what's your question?""","""Что ты хочешь спросить, Генри?"""
вопросник,questionnaire,[ˌkwestɪəˈnɛə],Source: NATO Defence Planing Questionnaire 2004.,"Источник: Вопросник военного планирования НАТО, 2004 год."
очередь,queue,[kju:],'Remote Delivery' Queue is Frozen,Очередь «Удаленная доставка» заблокирована
поставить в очередь,queue,[kju:],"EOP queued, deferred, and bounced messages FAQ","Поставленные в очередь, отложенные и возвращенные сообщения EOP: вопросы и ответы"
быстрый,quick,[kwɪk],"With Quick Edits, you can:",Кнопка Быстрые правки позволяет:
тихий,quiet,[ˈkwaɪət],It's always quiet midweek.,Здесь всегда тихо в середине недели.
уходить,quit,[kwɪt],Should I quit my job?,Я должна уйти с работы?
квота,quota,[ˈkwəutə],Retrieve the following quota settings.,Получите значения следующих параметров квоты.
предложение,quotation,[kwəuˈteɪʃən],Set up requests for quotation,Настройка запросов предложений
котировка,quote,,The time of the latest quote.,Время последней котировки
цитировать,quote,,My parrot can quote Shakespeare!,Мой попугай может цитировать Шекспира!
раса,race,[reɪs],The Aryan race will fight back.,Арийская раса будет отбиваться.
мчаться,race,[reɪs],WTI continued to race higher yesterday to hit resistance slightly above the psychological figure of 50.00.,"WTI вчера продолжила мчаться вверх достигнув сопротивления чуть выше психологического уровня 50,00."
расовый,racial,[ˈreɪʃəl],"Inexorably, racial prejudice creeps in.",Неизбежно возникают расовые предрассудки.
гонки,racing,[ˈreɪsɪŋ],Road racing is like free climbing.,А дорожные гонки - это уже скалолазание без страховки.
расизм,racism,[ˈreɪsɪzm],"So yes, racism is predictable.","Поэтому, да, расизм предсказуем."
расистский,racist,[ˈreɪsɪst],Arab Israeli leaders described the law as racist.,Лидеры арабской общины Израиля назвали этот закон расистским.
расист,racist,[ˈreɪsɪst],"Cameron is not a known racist, or a bigot.",Кэмерон не известный расист или фанатик.
радар,radar,[ˈreɪdə],"Hiding it from sonar, radar, scanners.","Скрывает от эхолокаторов, радаров, сканнеров."
радиация,radiation,[ˌreɪdɪˈeɪʃən],We don't need radiation.,Нам не нужна радиация.
радикальный,radical,[ˈrædɪkəl],A radical experiment in empathy,Радикальный эксперимент по сопереживанию.
радио,radio,,"Turn off the radio, please.","Выключите радио, пожалуйста."
ярость,rage,[reɪdʒ],Can you feel the rage?,Чувствуете как вас охватывает ярость?
рейд,raid,[reɪd],Blix had opposed the raid.,Бликс был против этого рейда.
совершать рейд,raid,[reɪd],,
рельс,rail,[reɪl],Wire Omaha to ship rail and ties.,"Телеграфируйте в Омаху, чтобы отправили рельсы и шпалы."
железная дорога,railway,[ˈreɪlweɪ],This is the Hejaz Railway.,Это - Хиджаззская железная дорога.
дождь,rain,[reɪn],The rain changed into snow.,Дождь перешёл в снег.
повышать,raise,[reɪz],To raise the domain functional level,Чтобы повысить функциональный уровень домена
митинг,rally,[ˈrælɪ],The rally was effectively quashed.,Митинг был фактически разогнан.
сплачиваться,rally,[ˈrælɪ],Now they will probably rally around him.,"Теперь они, вероятно, сплотятся вокруг него."
случайный,random,[ˈrændəm],It just seems so random.,Похоже на случайный выбор.
диапазон,range,[reɪndʒ],Subtract numbers in a range,Вычитание чисел в диапазоне
располагаться,range,[reɪndʒ],"Similarly, broadening the range of available savings instruments could raise household disposable income and increase consumption.","Подобным образом, расширение разнообразия доступных инструментов для сбережения средств могло бы увеличить располагаемый доход семьи и потребление."
ряд,rank,[ræŋk],The taxi rank is next to the hospital.,Стоянка такси прямо рядом с больницей.
оценивать,rank,[ræŋk],"When you evaluate bids, you can score the bids to help rank them.","При рассмотрении предложений их можно оценить, чтобы упростить ранжирование предложений."
рейтинг,ranking,,"From General, click Comment Ranking",В разделе Общие нажмите Рейтинг комментариев.
изнасилование,rape,[reɪp],Sweden’s Other Rape Suspects,Прочие подозреваемые в изнасиловании в Швеции
изнасиловать,rape,[reɪp],Enough time to rape and strangle Pauline Valera.,"Вполне достаточно, чтобы изнасиловать и убить Полину Валера."
быстрый,rapid,[ˈræpɪd],"But repeated, rapid, upward thrusts.","Но повторявшиеся, быстрые, направленные вверх удары."
редкий,rare,[rɛə],Sourcing and supplying rare collectables.,Занимался поставками редких предметов коллекционирования.
крыса,rat,[ræt],A rat in the drain?,Крыса в водостоке?
ставка,rate,[reɪt],Rf = risk-free interest rate,Rf = безрисковая процентная ставка
оценивать,rate,[reɪt],How do you rate it?,А это как вы оцените?
рейтинг,rating,[ˈreɪtɪŋ],European Union: PEGI rating system,Европейский Союз: система рейтингов PEGI
соотношение,ratio,[ˈreɪʃɪəu],"Also, include the product ratio.",Необходимо также указать соотношение продуктов.
рациональный,rational,[ˈræʃənl],But it is not rational.,Однако оно не рационально.
сырьевой,raw,[rɔ:],It involves limited raw materials.,Требует наличия ограниченных сырьевых ресурсов.
луч,ray,[reɪ],Ray — show the object trendlines as rays;,Луч — отображать в виде лучей трендовые линии объекта;
досягаемость,reach,[ri:tʃ],Zero-carbon electricity is within reach.,Электричество нулевого углерода находится в пределах досягаемости.
достигать,reach,[ri:tʃ],These goals are within reach.,Данные цели можно достигнуть.
реагировать,react,[rɪˈækt],Like and React to Posts,Как ставить «Нравится» публикациям и реагировать на них
реакция,reaction,[ri:ˈækʃən],Revolution and Reaction in Biopharming,Революция и реакции в сфере биофарминга
читать,read,[riːd],I read up on cyberbullies.,А то я читал про таких.
читатель,reader,[ˈri:də],The casual reader nods and moves along.,Случайный читатель кивает и продолжает читать.
чтение,reading,['riːdɪŋ],Reading makes my head ache.,Чтение доставляет мне головную боль.
готовый,ready,[ˈredɪ],Is the west wing ready?,Западное крыло готово?
реальный,real,,There are no real visions.,Реальных видений не бывает.
реалистический,realistic,[rɪəˈlɪstɪk],Were realistic levels not dramatic enough?,"Что, реалистические прогнозы показались не особо впечатляющими?"
реальность,reality,[ri:ˈælɪtɪ],It's our invisible reality.,Такова наша невидимая реальность.
реализация,realization,[ˌrɪəlaɪˈzeɪʃən],"Is this, in fact, a macabre realization of that aspiration?","Таков, по существу, мрачный сценарий реализации этого чаяния?"
понимать,realize,[ˈrɪəlaɪz],People are beginning to realize this.,Люди начинают понимать это.
сфера,realm,[relm],This is already taking place in the trade realm.,Это уже происходит в сфере торговли.
задний,rear,[rɪə],No side or rear gates.,Ни боковых или задних ворот.
тыл,rear,[rɪə],"Sargent, form the men up and colours to the rear.","Сержант, построить развёрнутый строй, знаменосцев в тыл."
причина,reason,[ˈri:zn],And there's a reason.,и тому есть причина.
разумный,reasonable,[ˈri:znəbl],A reasonable timetable is possible.,При этом можно придерживаться разумного графика.
рассуждение,reasoning,[ˈri:znɪŋ],"Such reasoning, however, makes ""meaning"" irrelevant.","При таких рассуждениях, однако, теряется смысл происходящего."
заверять,reassure,[ˌri:əˈʃuə],So let me reassure you about something.,Позвольте заверить вас кое в чем.
мятежник,rebel,['reb(ə)l],Russian Regional Boss Seeks Rebel Amnesty to Quell Terror,Российский террор заставил регионального руководителя просить об амнистии для мятежников
восстание,rebellion,[rɪˈbeljən],"Extreme poverty breeds apathy, not rebellion.","Крайняя бедность порождает апатию, а не восстание."
восстанавливать,rebuild,[ˈri:ˈbɪld],How to Rebuild Eastern Ukraine,Как восстановить Восточную Украину
напоминать,recall,[rɪ'kɔːl],Recall that Obama also campaigned against NAFTA.,"Напомню, что Обама во время предвыборной кампании тоже выступал против НАФТА."
получение,receipt,[rɪˈsi:t],Acknowledge receipt of this message.,Подтвердите получение этого сообщения.
получать,receive,[rɪˈsi:v],Receive transfer orders [AX 2012],Получение заказов на перемещение [AX 2012]
приемник,receiver,[rɪˈsi:və],"Rr = Receiver, observer or measuring device","Rr = Приемник, наблюдатель или измерительное устройство"
последний,recent,[ˈri:snt],Here are some recent images.,Вот несколько последних снимков
прием,reception,[rɪˈsepʃən],The reception isn't good.,Приём плохой.
рецессия,recession,[rɪˈseʃən],"So, there's a recession.","То есть, это и есть рецессия."
рецепт,recipe,[ˈresɪpɪ],Go to a recipe page.,Перейдите на страницу с рецептами.
получатель,recipient,[rɪˈsɪpɪənt],The recipient of the message.,Получатель сообщения.
считать,reckon,[ˈrekən],I reckon we could knock ten grand off the asking price.,"Я считаю, что он стоит своих денег."
признание,recognition,[ˌrekəɡˈnɪʃən],Gain recognition for your skills.,Получите признание Ваших навыков.
признавать,recognize,[ˈrekəɡnaɪz],Policymakers must recognize their limits.,Политики должны признать свои пределы.
рекомендовать,recommend,[ˌrekəˈmend],would definitely recommend this restaurant,определенно рекомендую этот ресторан
рекомендация,recommendation,[ˌrekəmenˈdeɪʃən],Enter your recommendation as follows:,Введите свою рекомендацию:
реконструкция,reconstruction,[ˈri:kənsˈtrʌkʃən],I have a cranial vault reconstruction tomorrow.,У меня завтра реконструкция свода черепа.
запись,record,['rekɔːd],Delete a system record template,Удаление системного шаблона записи
записывать,record,['rekɔːd],Winner get a record deal.,Победитель сможет записать альбом.
запись,recording,[rɪˈkɔ:dɪŋ],Is that CCTV camera recording?,С этой охранной камеры ведется запись?
рассказывать,recount,[rɪˈkaunt],Do I need to recount the final agonizing moments of dear Abigail's life?,Следует ли мне рассказать о последних мучительных моментах жизни дорогой Эбигейл?
восстанавливаться,recover,[rɪ'kʌvə],But they did recover quite fast afterwards.,Но они довольно быстро восстановились.
восстановление,recovery,[rɪˈkʌvərɪ],"Backup, restore, and disaster recovery","Резервное копирование, восстановление и аварийное восстановление"
новобранец,recruit,[rɪˈkru:t],"It retained the capability to recruit and train forces, and put them into the field.",Она сохранила способность к мобилизации и подготовке новобранцев с последующей их отправкой на линию фронта.
набирать,recruit,[rɪˈkru:t],So we recruit some people for an experiment.,"Итак, мы набираем людей для эксперимента."
набор,recruitment,[rɪˈkru:tmənt],About recruitment projects [AX 2012],О проектах по набору сотрудников [AX 2012]
перерабатывать,recycle,,We all know we need to recycle more.,"Все мы знаем, что нужно больше перерабатывать отходы."
красный,red,[red],I'm going with red.,Я проголосую красным.
красный цвет,red,[red],,
сокращать,reduce,[rɪˈdju:s],The aim is to reduce unemployment.,"Основная цель заключается в том, чтобы сократить уровень безработицы."
сокращение,reduction,[rɪˈdʌkʃən],Arms Reduction: Just Do It,Сокращение вооружений: нет ничего проще
относиться,refer,[rɪˈfə:],Sizes below 45 mm refer only to clementines.,Размеры менее 45 мм относятся только к клементинам.
рефери,referee,[ˌrefəˈri:],I need a dessert referee.,Мне нужен десертный рефери.
ссылка,reference,[ˈrefrəns],Excel multi-sheet formula reference,Ссылка на несколько листов в формуле Excel
референдум,referendum,[ˌrefəˈrendəm],Tsipras hints at a referendum,Ципрас намекает на референдум.
отражать,reflect,[rɪˈflekt],Its constitution should reflect that.,И ее конституция должна отражать это.
отражение,reflection,[rɪˈflekʃən],Angle of incidence equals angle of reflection.,Угол падения равен углу отражения.
реформа,reform,[rɪ'fɔːm],Paying the Price of Reform,Цена реформ
реформировать,reform,[rɪ'fɔːm],"repair, reform, rebalancing, and rebuilding.","исправление, реформирование, восстановление баланса и перестройка."
убежище,refuge,[ˈrefju:dʒ],So they are taking refuge in fantasy.,"Так что, они ищут убежище в мире фантазий."
беженец,refugee,[ˌrefju:ˈdʒi:],Economists on the Refugee Path,Экономисты и кризис беженцев
отказ,refusal,[rɪˈfju:zəl],refusal to acknowledge reality is.,слабостью является отказ осознать реальность.
отказываться,refuse,[rɪ'fjuːz],You refuse to play nice.,Вы отказываетесь играть по правилам.
возвращать,regain,[rɪˈɡeɪn],How can we help Georgia maintain its independence and begin the process of regaining sovereignty over Russian-occupied territories?,Как мы можем помочь Грузии сохранять свою независимость и начать процесс возвращения суверенитета над оккупированными Россией территориями?
отношение,regard,[rɪˈɡɑ:d],Carter isn’t alone in this regard.,Картер в этом отношении не одинок.
рассматривать,regard,[rɪˈɡɑ:d],I wouldn’t regard those systems as learning.,— Я бы не стал рассматривать подобные системы как обучающиеся.
режим,regime,[reɪˈʒi:m],Assad's regime is doomed.,Режим Асада обречен.
регион,region,[ˈri:dʒən],Westernize the Black Sea Region,Преобразовать Черноморский регион на западный лад
региональный,regional,[ˈri:dʒənl],General headquarters and regional headquarters,Главное управление и региональные управления
регистр,register,[ˈredʒɪstə],Workflow for budget register entries,Workflow-процесс для записей регистра бюджета
зарегистрировать,register,[ˈredʒɪstə],Click on the Register button.,Нажмите кнопку Зарегистрировать.
регистрация,registration,[ˌredʒɪsˈtreɪʃən],Registration Start: 09.11.2015,Начало регистрации: 09.11.2015
сожаление,regret,[rɪˈɡret],He expressed regret over the affair.,Он выразил сожаление по поводу этого дела.
сожалеть,regret,[rɪˈɡret],We greatly regret this matter.,Очень сожалеем об этом шаге.
регулярный,regular,[ˈreɡjulə],Additional regular resources (RR) 2010 *,"Дополнительные регулярные ресурсы (РР), 2010 год *"
регулировать,regulate,[ˈreɡjuleɪt],Can We Regulate Systemic Risk?,Можем ли мы регулировать системный риск?
правило,regulation,[ˌreɡjuˈleɪʃən],Regulation No. 10 (Electromagnetic compatibility),Правила № 10 (электромагнитная совместимость)
регулятор,regulator,[ˈreɡjuleɪtə],Financial Conduct Authority (UK regulator),"Financial Conduct Authority, FCA (регулятор Великобритании)"
регулирующий,regulatory,,"A liberal regulatory regime helps, too.",Либеральный регулирующий режим также способствует успеху.
реабилитация,rehabilitation,[ˈri:əˌbɪlɪˈteɪʃən],Article 26 Habilitation and rehabilitation,Статья 26 Развитие способностей и реабилитация
господство,reign,[reɪn],Duterte’s Reign of Terror,Господство террора Дутерте
править,reign,[reɪn],"For 45 years, Myanmar's people have been subjected to the junta's reign of terror.",Уже в течение 45 лет жители Мьянмы подвергаются террору правящей хунты.
укреплять,reinforce,[ˌri:ɪnˈfɔ:s],Other regional comparisons further reinforce that trend.,Другие региональные сравнения еще больше укрепляют данную тенденцию.
отклонять,reject,['riːʤekt],Reject vendor status change requests,Отклонение запросов на изменение статуса поставщика
отклонение,rejection,[rɪˈdʒekʃən],You can customize the rejection response.,Ответ об отклонении можно настраивать.
связывать,relate,[rɪˈleɪt],So how does this all relate to behavioral finance?,Как это связано с поведенческой экономикой?
связанный,related,[rɪˈleɪtɪd],Related to this are rewards.,Награды должны быть напрямую связаны с этим.
отношение,relation,[rɪˈleɪʃən],Associate(s) – (in relation to a person) (A):,Партнеры (в отношении лица) (А):
отношение,relationship,[rɪˈleɪʃənʃɪp],Brexit and the Special Relationship,Брексит и особые отношения
относительный,relative,[ˈrelətɪv],Copied formula with relative reference,Скопированная формула с относительной ссылкой
родственник,relative,[ˈrelətɪv],"Shirttail relative, to say the least.","Дальний родственник, так сказать."
расслабляться,relax,[rɪˈlæks],"Christine, relax, this is cotillion.","Расслабься, Кристин, это всего лишь котильон."
расслабленный,relaxed,,Hold the game controller with a relaxed hand.,"Держа геймпад, ваша рука должна быть расслабленной."
расслабляющий,relaxing,[rɪˈlæksɪŋ],It's a very relaxing vocation.,Это очень расслабляющий отпуск.
освобождение,release,[rɪˈli:sɡɪə],the release of political prisoners;,освобождение политзаключенных;
освобождать,release,[rɪˈli:sɡɪə],the release of political prisoners;,освобождение политзаключенных;
актуальность,relevance,[ˈrelɪvəns],"Improve relevance, reduce negative feedback","Повышайте оценку актуальности рекламы, уменьшайте количество отрицательных отзывов"
соответствующий,relevant,[ˈrelɪvənt],Click Close on relevant trade,Нажмите на кнопку «Закрыть» на соответствующей позиции
надежность,reliability,,This can cause reliability problems.,Это может снизить надежность.
надежный,reliable,[rɪˈlaɪəbl],How reliable are anonymous sources?,— Насколько надежными является анонимные источники?
помощь,relief,[rɪˈli:f],Providing relief to the poor.,помощь малообеспеченным;
освобождать,relieve,[rɪˈli:v],But this does not relieve major economies of their responsibility to support development.,Но это не освобождает крупнейшие страны от их ответственности за поддержку развития.
освобожденный,relieved,,Major Colvin is relieved of duty.,Майор Колвин освобожден от должности.
религия,religion,[rɪˈlɪdʒən],Elsewhere he attacks religion directly:,В других случаях он совершает открытые нападки на религию:
религиозный,religious,[rɪˈlɪdʒəs],"An $80,000 religious study?",Религиозное исследование в $80 000?
неохотный,reluctant,[rɪˈlʌktənt],Like our reluctant tipster Byron's.,Как у нашего неохотного информатора Байрона.
полагаться,rely,[rɪˈlaɪ],And we rely on others.,И мы полагаемся на суждение других.
оставаться,remain,[rɪˈmeɪn],Will the West remain Western?,И останется ли Запад западным?
оставшаяся часть,remainder,[rɪˈmeɪndə],"Over 87 % of roundwood removals were for industrial uses, while the remainder was for fuel purposes.","Более 87 % вывезенного круглого леса было использовано в промышленных целях, а оставшаяся часть- в качестве топлива."
останки,remains,[rɪˈmeɪnz],Forensic medical examination of the remains;,проведение судебно-медицинской экспертизы останков;
замечание,remark,[rɪ'mɑːk],Medvedev called that remark “unacceptable.”,Медведев назвал такое замечание неприемлемым.
замечать,remark,[rɪ'mɑːk],Medvedev called that remark “unacceptable.”,Медведев назвал такое замечание неприемлемым.
замечательный,remarkable,[rɪˈmɑ:kəbl],It was a remarkable speech.,Это было замечательное выступление.
средство,remedy,[ˈremɪdɪ],What is the best remedy for colds?,Какое средство лучшее от простуды?
помнить,remember,[rɪˈmembə],Remember that game against Easton?,Помнишь ту игру против Истон?
напоминать,remind,,Remind me why you enlisted.,"Напомните мне, почему вы зачислили."
напоминание,reminder,[rɪˈmaɪndə],This is our last reminder.,Это наше последнее напоминание.
дистанционный,remote,[rɪˈməut],And Magnus' remote triggering device.,И дистанционный пульт управления Магнуса.
удаление,removal,[rɪˈmu:vəl],To undo the song removal:,Вот как отменить удаление композиции:
